time,thermal_energy_demand,temperature,t below t_biv,th_output_hp,th_output_hr,el_demand_hp,el_demand_hr,cop
2015-05-21 16:00:00,0.9645780240186875,16.65,False,0.9645780240186875,0.0,0.35093938738986774,0.0,2.7485601749999997
2015-05-21 16:15:00,0.9843080290554335,17.0,False,0.9843080290554335,0.0,0.3551061301776178,0.0,2.7718700000000003
2015-05-21 16:30:00,1.0040380340921793,16.950000000000006,False,1.0040380340921793,0.0,0.36266098816415615,0.0,2.7685305749999998
2015-05-21 16:45:00,1.0237680391289252,16.2,False,1.0237680391289252,0.0,0.37654905196602595,0.0,2.7188172
2015-05-21 17:00:00,1.0434980441656712,15.85,False,1.0434980441656712,0.0,0.38707424585389383,0.0,2.695860175
2015-05-21 17:15:00,1.0637761048978822,15.4,False,1.0637761048978822,0.0,0.39893038088389865,0.0,2.6665707999999997
2015-05-21 17:30:00,1.0840541656300933,15.3,False,1.0840541656300933,0.0,0.40752434512252633,0.0,2.6600966999999995
2015-05-21 17:45:00,1.104332226362304,14.7,False,1.104332226362304,0.0,0.42125698698097325,0.0,2.6215167000000004
2015-05-21 18:00:00,1.1246102870945152,14.65,False,1.1246102870945152,0.0,0.4295156256294226,0.0,2.6183221749999994
2015-05-21 18:15:00,1.1448883478267262,15.1,False,1.1448883478267262,0.0,0.43249254796563674,0.0,2.6471862999999995
2015-05-21 18:30:00,1.165166408558937,14.45,False,1.165166408558937,0.0,0.4471819661415644,0.0,2.6055755749999996
2015-05-21 18:45:00,1.185444469291148,13.6,False,1.185444469291148,0.0,0.4645222650763632,0.0,2.5519648
2015-05-21 19:00:00,1.2057225300233592,12.95,False,1.2057225300233592,0.0,0.4800648571243408,0.0,2.5115825750000003
2015-05-21 19:15:00,1.1969536388959168,12.6,False,1.1969536388959168,0.0,0.48069292134624164,0.0,2.4900588
2015-05-21 19:30:00,1.1881847477684742,12.2,False,1.1881847477684742,0.0,0.4818952946625473,0.0,2.4656492
2015-05-21 19:45:00,1.1794158566410315,12.5,False,1.1794158566410315,0.0,0.47481704215224074,0.0,2.4839375
2015-05-21 20:00:00,1.1706469655135892,11.9,False,1.1706469655135892,0.0,0.47830817488608124,0.0,2.4474742999999997
2015-05-21 20:15:00,1.1383116794811445,12.6,False,1.1383116794811445,0.0,0.4571424897601392,0.0,2.4900588
2015-05-21 20:30:00,1.1059763934487,12.95,False,1.1059763934487,0.0,0.44035040076223647,0.0,2.5115825750000003
2015-05-21 20:45:00,1.073641107416255,12.6,False,1.073641107416255,0.0,0.43117098576798873,0.0,2.4900588
2015-05-21 21:00:00,1.0413058213838104,12.75,False,1.0413058213838104,0.0,0.4166449263230948,0.0,2.4992643749999996
2015-05-21 21:15:00,0.9558091328912449,12.2,False,0.9558091328912449,0.0,0.38765008943334067,0.0,2.4656492
2015-05-21 21:30:00,0.8703124443986794,12.3,False,0.8703124443986794,0.0,0.3521062145589932,0.0,2.4717326999999996
2015-05-21 21:45:00,0.784815755906114,12.4,False,0.784815755906114,0.0,0.31673526270503993,0.0,2.4778288
2015-05-21 22:00:00,0.6993190674135484,12.3,False,0.6993190674135484,0.0,0.2829266560310298,0.0,2.4717326999999996
2015-05-21 22:15:00,0.62094710296203,12.2,False,0.62094710296203,0.0,0.251839192275215,0.0,2.4656492
2015-05-21 22:30:00,0.5425751385105118,12.15,False,0.5425751385105118,0.0,0.22032504509586934,0.0,2.4626121749999994
2015-05-21 22:45:00,0.46420317405899336,11.9,False,0.46420317405899336,0.0,0.18966620979799192,0.0,2.4474742999999997
2015-05-21 23:00:00,0.385831209607475,11.55,False,0.385831209607475,0.0,0.15901296200400422,0.0,2.4264135749999998
2015-05-21 23:15:00,0.3365340103435388,10.9,False,0.3365340103435388,0.0,0.14094423864718378,0.0,2.3877103
2015-05-21 23:30:00,0.2872368110796026,10.15,False,0.2872368110796026,0.0,0.12255624604036995,0.0,2.3437141749999992
2015-05-21 23:45:00,0.23793961181566634,9.9,False,0.23793961181566634,0.0,0.10215480346917588,0.0,2.3292063
2015-05-22 00:00:00,0.18864241255173012,9.85,False,0.18864241255173012,0.0,0.08109068610723232,0.0,2.3263141750000003
2015-05-22 00:15:00,0.19365949799193571,9.1,False,0.19365949799193571,0.0,0.08481523426401386,0.0,2.2833102999999997
2015-05-22 00:30:00,0.19867658343214128,9.1,False,0.19867658343214128,0.0,0.08701252012577586,0.0,2.2833102999999997
2015-05-22 00:45:00,0.20369366887234688,9.2,False,0.20369366887234688,0.0,0.08898793539141706,0.0,2.2890032
2015-05-22 01:00:00,0.20871075431255248,8.55,False,0.20871075431255248,0.0,0.09266871369279528,0.0,2.2522245749999996
2015-05-22 01:15:00,0.21272442266471694,8.8,False,0.21272442266471694,0.0,0.0938638957087181,0.0,2.2663072
2015-05-22 01:30:00,0.2167380910168814,8.8,False,0.2167380910168814,0.0,0.0956349126088826,0.0,2.2663072
2015-05-22 01:45:00,0.2207517593690459,9.4,False,0.2207517593690459,0.0,0.09596121874821052,0.0,2.3004267999999994
2015-05-22 02:00:00,0.22476542772121036,8.65,False,0.22476542772121036,0.0,0.09954851269891538,0.0,2.2578481749999995
