time,Wind_0,Wind_1,Wind_2,Wind_3,Wind_4,Wind_5,P_ac,P_in without losses [KW],P_in [KW],hydrogen production [Kg/dt],surplus electricity [kW],status,status codes,H20 [kg/dt],Oxygen [kg/dt],cooling Water [kg/dt],Heat Cell [%],heat system [%],electrolyzer {%],gasdrying {%],electronics [%],pump [%],compression [%],efficiency [%],efficency _c [%],Electrolyzer
2024-03-03 11:15:00,33.16787241184012,33.16787241184012,33.16787241184012,33.16787241184012,33.16787241184012,33.16787241184012,199.01,198.38,198.38,0.0,198.38,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 11:30:00,26.39541216009993,26.39541216009993,26.39541216009993,26.39541216009993,26.39541216009993,26.39541216009993,158.37,157.76,157.76,0.0,157.76,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 11:45:00,173.82647934246762,173.82647934246762,173.82647934246762,173.82647934246762,173.82647934246762,173.82647934246762,1042.96,1042.27,1042.27,0.0,1042.27,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 12:00:00,524.9276511098938,524.9276511098938,524.9276511098938,524.9276511098938,524.9276511098938,524.9276511098938,3149.57,3148.87,3148.87,0.0,3021.37,booting,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 12:15:00,686.5196990214661,686.5196990214661,686.5196990214661,686.5196990214661,686.5196990214661,686.5196990214661,4119.12,4118.42,4118.42,87.0,0.0,production,4,777.22,691.61,-3740.46,6.28,-0.88,30.0,1.83,4.25,0.18,0.0,64.15,64.15,4118.42
2024-03-03 12:30:00,848.3081825930205,848.3081825930205,848.3081825930205,848.3081825930205,848.3081825930205,848.3081825930205,5089.85,5089.15,5006.28,106.67,0.0,production,4,952.94,847.97,-5378.52,7.43,-1.04,29.0,1.85,3.83,0.18,0.0,65.16,65.16,5089.15
2024-03-03 12:45:00,1315.5877359853573,1315.5877359853573,1315.5877359853573,1315.5877359853573,1315.5877359853573,1315.5877359853573,7893.53,7892.83,7791.08,166.08,0.0,production,4,1483.68,1320.25,-11820.04,10.49,-1.47,29.0,1.85,3.07,0.2,0.0,65.93,65.93,7892.83
2024-03-03 13:00:00,2215.757288697093,2215.757288697093,2215.757288697093,2215.757288697093,2215.757288697093,2215.757288697093,13294.54,13293.84,13134.04,272.19,0.0,production,4,2431.62,2163.77,-28658.57,15.09,-2.11,31.0,1.8,2.47,0.27,0.0,64.53,64.53,13293.84
2024-03-03 13:15:00,3237.5149353711963,3237.5149353711963,3237.5149353711963,3237.5149353711963,3237.5149353711963,3237.5149353711963,19425.09,19424.39,19152.99,307.24,4152.99,production,4,2744.74,2442.4,-35680.41,16.45,-2.3,32.0,1.78,2.3,0.3,0.0,63.89,63.89,15271.4
2024-03-03 13:30:00,2838.802286167631,2838.802286167631,2838.802286167631,2838.802286167631,2838.802286167631,2838.802286167631,17032.81,17032.11,16719.86,307.24,1719.86,production,4,2744.74,2442.4,-35680.41,16.45,-2.3,32.0,1.78,2.3,0.3,0.0,63.89,63.89,15312.25
2024-03-03 13:45:00,3036.462234673804,3036.462234673804,3036.462234673804,3036.462234673804,3036.462234673804,3036.462234673804,18218.77,18218.07,17905.82,307.24,2905.82,production,4,2744.74,2442.4,-35680.41,16.45,-2.3,32.0,1.78,2.3,0.3,0.0,63.89,63.89,15312.25
